ID,title,description,streetaddress,city,state,Postal Code,isreferencedby,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
176,Bungalow,,557 3rd St.,Baton Rouge,LA,,,(*) - Very popular,Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
177,The Den,,5569 Greenwells Spgs. Rd.,Baton Rouge,LA,,,(*) - Very popular,Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
178,Rig 32,,Hwy. 90 E.,Lake Charles,LA,,,,Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
179,Terry’s Lounge,,Shell Beach Dr.,Lake Charles,LA,,,(M) - Mixed Crowds,Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
180,Frances Hotel Bar,(downstairs),300 Harrison,Monroe,LA,,,,"Hotels,Bars/Clubs",,,9/12/2019 8:46am,10/28/2019 9:17am
181,Alice Brady’s ,,514 Ursulines St.,New Orleans,LA,,,"""(G) - Girls, but seldom exclusively"",(*) - Very popular",Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
182,Annie’s,,507 St. Louis St.,New Orleans,LA,,,"""(G) - Girls, but seldom exclusively"",(P) - Private club - Inquire locally to admission",Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
186,Caverns,,801 Bourbon St.,New Orleans,LA,,,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
185,Canal Baths,,512 Gravier St.,New Orleans,LA,,,,Baths,,,9/12/2019 8:46am,10/28/2019 9:20am
188,Club New Orleans Baths,,515 Toulouse Ave.,New Orleans,LA,,,(*) - Very popular,Baths,,,9/12/2019 8:46am,10/28/2019 9:20am
189,Club Unique,,700 N. Rampart St.,New Orleans,LA,,,,Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
190,Diogenes,(Jason’s) (50¢ adm.) ,940 Conti St,New Orleans,LA,,,"(YC) - Young and/or collegiate types,(HIP) - Heads frequent,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/12/2019 8:46am,10/28/2019 9:27am
191,Emy’s,,918 Royal St.,New Orleans,LA,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/13/2019 6:46am,10/28/2019 9:15am
192,Experience,,1204 N. Rampart St.,New Orleans,LA,,,,Bars/Clubs,,,9/13/2019 6:46am,10/28/2019 9:27am
193,Fated Calf,,727 St. Peter St.,New Orleans,LA,,,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/13/2019 6:46am,10/28/2019 9:15am
194,Galley House ,,542 Chartres St.,New Orleans,LA,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 6:46am,10/28/2019 9:27am
195,Golden Lantern,,1239 Royal St.,New Orleans,LA,,,,Bars/Clubs,,,9/13/2019 6:46am,10/28/2019 9:27am
196,Kitty’s ‘Grog’,,718 N. Rampart St,New Orleans,LA,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
197,Lafitte Guest House,,1003 Bourbon St.,New Orleans,LA,,,"""(H) - Hotel, motel, or other overnight accomodations""","Bars/Clubs,Hotels",,,9/13/2019 6:47am,12/7/2019 2:09pm
198,Lafitte’s In Exile,,901 Bourbon St.,New Orleans,LA,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
199,Manny’s Den,,740 Burgundy St.,New Orleans,LA,,,,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
201,Pete’s Place,,800 Bourbon St.,New Orleans,LA,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
202,Rear End,,325 Bourbon St.,New Orleans,LA,,,(M) - Mixed Crowds,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
200,Maxey’s Coffee Pot,,714 St. Peter St.,New Orleans,LA,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/13/2019 6:47am,10/28/2019 9:15am
205,Speakeasy,,834 N. Rampart St.,New Orleans,LA,,,"(M) - Mixed Crowds,(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
203,Safari Lounge,(upstairs),706 Iberville,New Orleans,LA,,,(B) - Blacks frequent,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
204,Society Page,,819 St. Louis,New Orleans,LA,,,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular",Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
206,Street Car,(above Lafitte’s),901 Bourbon St.,New Orleans,LA,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(*) - Very popular",Restaurant,,,9/13/2019 6:47am,10/28/2019 9:15am
208,Upstairs,,604 Iberville ,New Orleans,LA,,,,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
211,Wanda Stump’s Lounge,,820 N. Rampart St.,New Orleans,LA,,,,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
210,Wanda’s,,704 Iberville,New Orleans,LA,,,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
209,Vicki’s,,541 Decatur St.,New Orleans,LA,,,"""(G) - Girls, but seldom exclusively"",(M) - Mixed Crowds",Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
215,Bobby’s Korner,,800 Louisiana,Shreveport,LA,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 6:47am,10/28/2019 9:27am
229,Barringer Inn Bar,,426 N. Tryon,Charlotte,NC,,,(M) - Mixed Crowds,Bars/Clubs,,,9/13/2019 7:12am,10/28/2019 9:27am
230,Honey’s Brass Rail ,,105 W. Morehead,Charlotte,NC,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 7:13am,10/28/2019 9:27am
231,Neptune,,5540 N. Tryon,Charlotte,NC,,,,Bars/Clubs,,,9/13/2019 7:13am,10/28/2019 9:27am
232,Talk of the Town,,825 W. Morehead,Charlotte,NC,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/13/2019 7:13am,10/28/2019 9:27am
237,General Greene Bar,,253 N. Greene St.,Greensboro,NC,,,,Bars/Clubs,,,9/13/2019 7:13am,10/28/2019 9:27am
236,Stein Room,Holiday Inn,422 Eastern Blvd.,Fayetteville,NC,,,(M) - Mixed Crowds,"Hotels,Bars/Clubs",,,9/13/2019 7:13am,10/28/2019 9:26am
238,Truth Lounge,,2503 Spring Garden Rd.,Greensboro,NC,,,"(P) - Private club - Inquire locally to admission,(D) - Dancing",Bars/Clubs,,,9/13/2019 7:13am,10/28/2019 9:27am
239,Queen Bee,,312 S. Salisbury,Raleigh,NC,,,,Bars/Clubs,,,9/13/2019 7:34am,10/28/2019 9:27am
244,Wagon Wheel,,336 King St.,Charleston,SC,,,,Bars/Clubs,,,9/13/2019 7:34am,10/28/2019 9:27am
246,Midge’s Lounge ,,2717 Two Notch Rd.,Columbia,SC,,,"(D) - Dancing,(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,9/13/2019 7:34am,10/28/2019 9:27am
243,Stardust Lounge,,33 Hayne,Charleston,SC,,,"(P) - Private club - Inquire locally to admission,(*) - Very popular",Bars/Clubs,,,9/13/2019 7:34am,10/28/2019 9:27am
247,The Lounge,,1103 Lady St.,Columbia,SC,,,,Bars/Clubs,,,9/13/2019 7:34am,10/28/2019 9:27am
251,Beach Towel,,403 1st Ave. N. ,Myrtle Beach,SC,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 7:55am,10/28/2019 9:27am
253,Cross Keys,,1129 Market St.,Chattanooga,TN,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 7:55am,10/28/2019 9:27am
254,Pizza Palace,,3101 Brainerd Rd.,Chattanooga,TN,,,(M) - Mixed Crowds,Bars/Clubs,,,9/13/2019 7:55am,10/28/2019 9:27am
257,Andrew Jackson Hotel Bar,,918 Gay St.,Knoxville,TN,,,(M) - Mixed Crowds,"Hotels,Bars/Clubs",,,9/13/2019 8:04am,10/28/2019 9:17am
259,Huddle,,219 Cumberland Ave. S.W.,Knoxville,TN,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 8:04am,10/28/2019 9:27am
260,Door ,,1786 Madison Ave.,Memphis,TN,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 8:04am,10/28/2019 9:27am
261,Entre Nuit,((R) next door),265 S. Cleveland,Memphis,TN,,,"(*) - Very popular,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Bars/Clubs,,,9/13/2019 8:04am,12/18/2019 12:22pm
263,Kaleidoscope Pet Shop ,(not a bar),1633 Union,Memphis,TN,,,,Bars/Clubs,,,9/13/2019 8:04am,10/28/2019 9:27am
262,Fox,,10 N. Cleveland,Memphis,TN,,,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,9/13/2019 8:04am,10/28/2019 9:27am
264,Ohman House Snack Shop,,2158 Union,Memphis,TN,,,"(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,9/13/2019 8:08am,10/28/2019 9:27am
265,Psyche Out,,76 N. Cleveland,Memphis,TN,,,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,9/13/2019 8:08am,10/28/2019 9:27am
268,Hi Hat Lounge ,,604 Commerce St.,Nashville,TN,,,,Bars/Clubs,,,9/13/2019 8:08am,10/28/2019 9:27am
269,Juanita’s ,,713 Commerce St. ,Nashville,TN,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 8:08am,10/28/2019 9:27am
270,Jungle Lounge ,,715 Commerce St.,Nashville,TN,,,,Bars/Clubs,,,9/13/2019 8:08am,10/28/2019 9:27am
272,Chantaclair,,523 E. 10th St.,Amarillo,TX,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 8:11am,10/28/2019 9:27am
274,Apartment Bar,(No sign-looks like private house-use back door) (this is near Guadalupe & 29th),2828 Rio Grande,Austin,TX,,,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/13/2019 8:11am,10/28/2019 9:27am
275,Pearl Street Warehouse ,"(semi-private, $1.00 adm.) (use side door on 18th off Lavaca)",1720 Lavaca,Austin,TX,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/13/2019 8:11am,10/28/2019 9:27am
276,The Coffee House,(after hours-looks like a private house),604 W. 9th ,Austin,TX,,,"""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,9/13/2019 8:11am,10/28/2019 9:27am
278,Melody Lounge,,2520 College,Beaumont,TX,,,,Bars/Clubs,,,9/13/2019 8:11am,10/28/2019 9:27am
279,Other Place,,7665 College,Beaumont,TX,,,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,9/13/2019 8:17am,10/28/2019 9:27am
280,The Dump,,490 College,Beaumont,TX,,,,Bars/Clubs,,,9/13/2019 8:17am,10/28/2019 9:27am
282,Ronnie’s Bamboo Room,,219 N. Frazier,Conroe,TX,,,,Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
285,Bayou Club,,3717 Rawlins,Dallas,TX,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(P) - Private club - Inquire locally to admission,(*) - Very popular",Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
291,Gene’s Music Box,(also (C) after hours weekends),307 S. Akard,Dallas,TX,,,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular,""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,9/13/2019 8:20am,12/18/2019 12:22pm
287,Club Bon Soir,,5601 W. Lovers Lane,Dallas,TX,,,"(D) - Dancing,(P) - Private club - Inquire locally to admission,(*) - Very popular",Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
294,Jeno’s ,,4818 Gaston,Dallas,TX,,,(M) - Mixed Crowds,Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
288,Dan’s Kitchen,(after hours weekends),4214 Live Oak,Dallas,TX,,,"""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
286,Chip Inn,,3224 N.Fitzhugh,Dallas,TX,,,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
290,Gallery Restaurant,,4234 Oaklawn,Dallas,TX,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/13/2019 8:20am,10/28/2019 9:15am
283,La Casita,,904 S. Stapels,Corpus Christi,TX,,,,Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
293,Horseshoe,,1305 Commerce,Dallas,TX,,,(M) - Mixed Crowds,Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
296,Orchard Club,P.S.W. (YC)(P) (no booze) Henderson St.,2311 N. Henderson,Dallas,TX,,,"(D) - Dancing,(P) - Private club - Inquire locally to admission,(*) - Very popular,(YC) - Young and/or collegiate types",Bars/Clubs,,,9/13/2019 8:20am,12/18/2019 12:23pm
284,Maison Rouge,,1009 Santa Fe,Corpus Christi,TX,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
289,Gallery One,,3113 Like Oak,Dallas,TX,,,,Bars/Clubs,,,9/13/2019 8:20am,10/28/2019 9:27am
297,Ronsue’s,((S) on Sundays ) (called Ronnie Sue’s),3236 McKinney,Dallas,TX,,,"(*) - Very popular,(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,9/13/2019 8:21am,12/18/2019 12:23pm
298,Swinger,(no neon sign),4419 Live Oak,Dallas,TX,,,"(W) - Western or coyboy types,(*) - Very popular",Bars/Clubs,,,9/13/2019 8:21am,10/28/2019 9:27am
299,The House ,(after hours),2511 Ross,Dallas,TX,,,"(P) - Private club - Inquire locally to admission,(D) - Dancing",Bars/Clubs,,,9/13/2019 8:36am,10/28/2019 9:27am
300,T.J.’s,(also (C) after hours weekends),3307 McKinney,Dallas,TX,,,"(D) - Dancing,(YC) - Young and/or collegiate types,""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,9/13/2019 8:36am,12/18/2019 12:23pm
301,Trio Coffee Shop ,,3541 McKinney,Dallas,TX,,,,Bars/Clubs,,,9/13/2019 8:36am,10/28/2019 9:27am
302,Villa Fontana ,,1315 Skiles nr. Live Oak,Dallas,TX,,,,Bars/Clubs,,,9/13/2019 8:36am,10/28/2019 9:27am
304,Albatross,"(Nat’l Society of the Albatross, formerly the Other End) semi private",612 N. Mesa ,El Paso,TX,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/13/2019 9:46am,10/28/2019 9:27am
305,Apartment,,815 Myrtle ,El Paso,TX,,,(M) - Mixed Crowds,Bars/Clubs,,,9/13/2019 9:46am,10/28/2019 9:27am
306,Checkmate,(was closed -  May re-open),716 E. San Antonio,El Paso,TX,,,,Bars/Clubs,,,9/13/2019 9:46am,10/28/2019 9:27am
307,Club Pigalle,,411 E. Franklin,El Paso,TX,,,,Bars/Clubs,,,9/13/2019 9:46am,10/28/2019 9:27am
308,D&M Bar ,,501 S. Mesa,El Paso,TX,,,"""(G) - Girls, but seldom exclusively"",(M) - Mixed Crowds",Bars/Clubs,,,9/13/2019 9:46am,10/28/2019 9:27am
310,Le Milord,,606 Magoffin,El Paso,TX,,,,Bars/Clubs,,,9/13/2019 9:46am,10/28/2019 9:27am
314,Little Elvira’s ,after hours adjoining El Toga,5563 Jacksboro Hwy.,Ft. Worth,TX,,,"""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,9/13/2019 9:47am,10/28/2019 9:27am
313,El Toga ,,5563 Jacksboro Hwy.,Ft. Worth,TX,,,"(YC) - Young and/or collegiate types,""(G) - Girls, but seldom exclusively"",(S) - Shows - impersonators or record pantomime acts - often touristy,(D) - Dancing,(P) - Private club - Inquire locally to admission,(*) - Very popular",Bars/Clubs,,,9/13/2019 9:47am,10/28/2019 9:27am
317,Ruby’s Drive Inn,(after hours),9901 Weatherford Hwy.,Ft. Worth,TX,,,"""(C) - Coffee, soft drinks and sometimes snacks"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/13/2019 1:10pm,10/28/2019 9:15am
316,Other Place,,3026 W. Lancaster,Ft. Worth,TX,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 1:10pm,10/28/2019 9:27am
315,Old House,(8 mi. W. on U.S. 80 & 180) ,9905 Weatherford Hwy.,Ft. Worth,TX,,,"(D) - Dancing,(P) - Private club - Inquire locally to admission,(*) - Very popular",Bars/Clubs,,,9/13/2019 1:10pm,10/28/2019 9:27am
318,Six-Fifty-One Club,,651 S Jennings,Ft. Worth,TX,,,(*) - Very popular,Bars/Clubs,,,9/13/2019 1:10pm,10/28/2019 9:27am
320,Gym Baths,,220 23rd St.,Galveston,TX,,,(*) - Very popular,Baths,,,9/13/2019 1:11pm,10/28/2019 9:20am
326,Art Wren’s,(after hours),616 Westheimer,Houston,TX,,,"""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,9/13/2019 1:20pm,10/28/2019 9:27am
329,Club Romulus,,2151 Richmond Ave.,Houston,TX,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(HIP) - Heads frequent,(P) - Private club - Inquire locally to admission,(*) - Very popular",Bars/Clubs,,,9/13/2019 1:20pm,10/28/2019 9:27am
322,Robert’s Lafitte,(after hours),411 25th St.,Galveston,TX,,,(P) - Private club - Inquire locally to admission,Bars/Clubs,,,9/13/2019 1:20pm,10/28/2019 9:27am
327,Athens,(Waterfront docks),8037 Clinton Dr.,Houston,TX,,,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,9/13/2019 1:20pm,10/28/2019 9:27am
323,Warehouse,(Kon Tiki),214 W. 23rd St.,Galveston,TX,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(P) - Private club - Inquire locally to admission,(*) - Very popular",Bars/Clubs,,,9/13/2019 1:20pm,10/28/2019 9:27am
